nama_sekolah,latitude,longitude
SMA Negeri 68,-6.197708,106.850815
SMA Negeri 7,-6.166497,106.819839
SMA Negeri 77,-6.160353,106.873917
SMA Negeri 5,-6.158845,106.866791
SMA Negeri 4,-6.178838,106.832809
SMA Negeri 35,-6.198582,106.815552
SMA Negeri 1,-6.164364,106.836617
SMA Negeri 10,-6.135178,106.826233
SMA Negeri 20,-6.142603,106.831635
SMA Negeri 24,-6.195851,106.798676
SMA Negeri 25,-6.14943,106.811035
SMA Negeri 27,-6.1825,106.861298
SMA Negeri 30,-6.12417,106.874786
SMA Negeri 75,-6.152633,106.926872
SMA Negeri 80,-6.227593,106.931595
SMA Negeri 83,-6.142944,106.927132
SMA Negeri 92,-6.099591,106.926392
SMA Negeri 73,-6.111403,106.92453
SMA Negeri 72,-6.165924,106.882843
SMA Negeri 52,-6.122282,106.923836
SMA Negeri 110,-6.133595,106.904053
SMA Negeri 111,-6.127583,106.793236
SMA Negeri 114,-6.088325,106.913399
SMA Negeri 115,-6.150966,106.958832
SMA Negeri 13,-6.100956,106.897552
SMA Negeri 15,-6.120073,106.863907
SMA Negeri 18,-6.099591,106.883133
SMA Negeri 40,-6.12849,106.840858
SMA Negeri 41,-6.112307,106.8731
SMA Negeri 45,-6.167692,106.904671
SMA Negeri 96,-6.147083,106.739555
SMA Negeri 95,-6.108467,106.705292
SMA Negeri 94,-6.167726,106.702301
SMA Negeri 85,-6.204256,106.756889
SMA Negeri 84,-6.145048,106.704605
SMA Negeri 78,-6.191491,106.782722
SMA Negeri 65,-6.19039,106.767776
SMA Negeri 57,-6.152843,106.755417
SMA Negeri 56,-6.098908,106.717361
SMA Negeri 33,-6.144139,106.726486
SMA Negeri 23,-6.172499,106.797691
SMA Negeri 2,-6.148692,106.815796
SMA Negeri 19,-6.141806,106.810036
SMA Negeri 17,-6.138507,106.822708
SMA Negeri 16,-6.182881,106.793182
SMA Negeri 112,-6.182198,106.746201
SMA Negeri 101,-6.220937,106.743484
SMA Negeri 47,-6.247169,106.773109
SMA Negeri 46,-6.258005,106.794807
SMA Negeri 43,-6.216263,106.841652
SMA Negeri 38,-6.31837,106.834976
SMA Negeri 37,-6.231688,106.859108
SMA Negeri 34,-6.3134,106.7948
SMA Negeri 32,-6.214111,106.784851
SMA Negeri 3,-6.181516,106.797882
SMA Negeri 29,-6.214282,106.784256
SMA Negeri 26,-6.233409,106.848518
SMA Negeri 109,-6.334408,106.837524
SMA Negeri 108,-6.239197,106.782593
SMA Negeri 97,-6.323488,106.804169
SMA Negeri 90,-6.239847,106.75193
SMA Negeri 87,-6.286452,106.7612
SMA Negeri 86,-6.262228,106.761284
SMA Negeri 82,-6.220084,106.802162
SMA Negeri 8,-6.217647,106.8592
SMA Negeri 74,-6.250452,106.785881
SMA Negeri 70,-6.24172,106.796951
SMA Negeri 66,-6.3066,106.805
SMA Negeri 63,-6.228729,106.749008
SMA Negeri 60,-6.23749,106.826141
SMA Negeri 6,-6.217695,106.800735
SMA Negeri 55,-6.247558,106.827766
SMA Negeri Ragunan Jakarta,-6.292435,106.828598
SMA Negeri 49,-6.324615,106.819748
SMA Negeri 99,-6.347387,106.873474
SMA Negeri 98,-6.3324,106.8573
SMA Negeri 93,-6.292188,106.867332
SMA Negeri 91,-6.238631,106.932434
SMA Negeri 9,-6.258708,106.881409
SMA Negeri 36,-6.199171,106.899094
SMA Negeri 31,-6.201973,106.864441
SMA Negeri 22,-6.185611,106.870773
SMA Negeri 21,-6.162401,106.889313
SMA Negeri 14,-6.231347,106.864594
SMA Negeri 12,-6.214586,106.897964
SMA Negeri 113,-6.29271,106.903008
SMA Negeri 11,-6.193462,106.950821
SMA Negeri 107,-6.205728,106.925209
SMA Negeri 106,-6.34635,106.860092
SMA Negeri 105,-6.319393,106.883186
SMA Negeri 104,-6.3006,106.862747
SMA Negeri 103,-6.212234,106.938118
SMA Negeri 102,-6.167233,106.950645
SMA Negeri 100,-6.229331,106.882317
SMA Negeri 39,-6.315981,106.848534
SMA Negeri 42,-6.25619,106.892761
SMA Negeri 44,-6.215306,106.926987
SMA Negeri 89,-6.161718,106.944931
SMA Negeri 88,-6.3277,106.846878
SMA Negeri 81,-6.250331,106.917648
SMA Negeri 76,-6.140555,106.933258
SMA Negeri 71,-6.221108,106.912659
SMA Negeri 67,-6.250459,106.882446
SMA Negeri 64,-6.308474,106.889999
SMA Negeri 62,-6.257967,106.865967
SMA Negeri 61,-6.238375,106.896263
SMA Negeri 59,-6.216234,106.908142
SMA Negeri 58,-6.277761,106.87146
SMA Negeri 54,-6.220532,106.870834
SMA Negeri 53,-6.2209,106.883194
SMA Negeri 51,-6.267011,106.863129
SMA Negeri 50,-6.205749,106.906731
SMA Negeri 48,-6.286892,106.883018
SMA Negeri 69 Pulau Pramuka,-6.112904,106.745514
SMA Negeri 28,-6.281856,106.832741
SMA Negeri 79,-6.209162,106.838554
SMA Negeri Unggulan M. H. Thamrin,-6.315796,106.901711
